City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Luanda,AO,2020-06-19 01:23:31,-8.84,13.23,71.6,94,75,3.94
191,Leiyang,CN,2020-06-19 01:23:31,26.4,112.86,81.88,82,86,2.51
192,Sao Filipe,CV,2020-06-19 01:23:32,14.9,-24.5,80.92,60,0,8.95
193,Hvolsvollur,IS,2020-06-19 01:23:32,63.75,-20.22,46.0,89,69,1.01
194,Beira,MZ,2020-06-19 01:23:32,-19.84,34.84,66.0,93,75,10.29
195,Bone,DE,2020-06-19 01:23:32,51.97,12.14,61.0,94,100,1.01
196,Ponta Do Sol,PT,2020-06-19 01:23:33,32.67,-17.1,69.8,73,20,10.29
197,Chernyshevskiy,RU,2020-06-19 01:23:33,63.01,112.47,59.65,62,83,2.15
198,San Vicente,AR,2020-06-19 01:23:33,-26.62,-54.13,65.68,88,29,4.65
199,Aras,ES,2020-06-19 01:23:33,42.56,-2.36,53.6,93,6,3.11
200,Grand-Santi,GF,2020-06-19 01:23:34,4.25,-54.38,74.5,97,100,2.28
201,Avera,US,2020-06-19 01:23:34,33.19,-82.53,77.0,78,90,4.7
202,Minab,IR,2020-06-19 01:23:34,27.15,57.08,89.6,79,20,6.93
203,High Level,CA,2020-06-19 01:23:34,58.52,-117.14,75.2,47,20,11.41
204,Veinte De Noviembre,MX,2020-06-19 01:23:34,14.98,-92.25,80.6,100,40,2.48
205,Lompoc,US,2020-06-19 01:23:35,34.64,-120.46,66.99,72,1,11.41
206,Sistranda,NO,2020-06-19 01:23:35,63.73,8.83,53.6,87,20,4.7
207,Bibiani,GH,2020-06-19 01:23:35,6.46,-2.32,70.9,100,100,1.63
208,Dikson,RU,2020-06-19 01:23:35,73.51,80.55,32.61,99,100,15.21
209,Coihaique,CL,2020-06-19 01:23:36,-45.58,-72.07,41.0,86,20,4.7
210,Port Hardy,CA,2020-06-19 01:23:36,50.7,-127.42,66.2,72,90,2.24
211,Mitu,CO,2020-06-19 01:23:36,1.2,-70.17,73.27,96,99,1.74
212,Alamosa,US,2020-06-19 01:19:01,37.47,-105.87,69.8,22,1,10.29
213,Mount Isa,AU,2020-06-19 01:23:37,-20.73,139.5,75.2,53,0,11.41
214,Laurinburg,US,2020-06-19 01:23:37,34.77,-79.46,75.2,73,90,4.7
215,Merauke,ID,2020-06-19 01:23:37,-8.47,140.33,80.85,73,100,13.65
216,Sao Francisco,BR,2020-06-19 01:23:37,-15.95,-44.86,66.31,60,0,4.94
217,Agadir,MA,2020-06-19 01:23:37,30.42,-9.6,68.0,77,0,2.86
