City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Ocampo,MX,80.08,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
533,Faya,SA,77.0,overcast clouds,18.39,42.45,مقبرة ال مجمل
534,Wuwei,CN,78.01,broken clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
535,Fundao,BR,80.6,clear sky,-19.93,-40.4,City Hotel
537,Pauini,BR,89.13,clear sky,-7.71,-66.98,Casa do Kiwliks
542,Uruzgan,AF,70.34,clear sky,32.83,66.0,
546,Banfora,BF,84.51,few clouds,10.63,-4.77,Residences David Hebié
547,Tucuman,AR,75.2,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
549,Hobyo,SO,80.24,clear sky,5.35,48.53,Osmani Hotel
552,Warwick,US,89.6,broken clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
553,Ambilobe,MG,71.64,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
555,Laguna,US,84.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
562,Paragominas,BR,85.03,clear sky,-2.97,-47.48,HOTEL RODA VIVA
563,Gatesville,US,90.0,broken clouds,31.44,-97.74,Ramada by Wyndham Gatesville N. Fort Hood
571,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
572,Iralaya,HN,85.08,broken clouds,15.0,-83.23,Iglesia morava renovada
573,Husainabad,IN,85.32,broken clouds,24.53,84.02,Mehdinager
574,Castillo De Teayo,MX,89.6,scattered clouds,20.75,-97.62,Iglesia Católica Lima Nueva
